                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.60582,                0.77736,                 1.0818,                0.97221,                0.96869,                0.97903,                0.89018,                 0.4791,                0.63069,                 1.0273,              0.0081247,              0.0081247,              0.0081247
                     88,                0.59455,                 0.7961,                 1.0861,                0.98575,                0.96099,                0.97589,                 0.8897,                0.48524,                0.62909,                 1.0389,              0.0080839,              0.0080839,              0.0080839
                     89,                0.59844,                0.77886,                 1.0774,                0.98179,                0.96287,                0.97811,                 0.8882,                 0.4889,                0.62463,                 1.0397,              0.0080428,              0.0080428,              0.0080428
                     90,                0.61051,                0.78436,                 1.0874,                0.98266,                0.95511,                 0.9765,                0.88276,                0.48582,                0.64326,                 1.0207,              0.0080013,              0.0080013,              0.0080013
                     91,                0.59956,                0.77646,                  1.086,                0.98512,                0.96626,                0.97773,                0.88733,                0.49533,                0.64532,                 1.0257,              0.0079595,              0.0079595,              0.0079595
                     92,                0.60747,                0.77038,                 1.0737,                0.97394,                 0.9703,                0.97626,                0.89163,                0.47357,                0.59261,                 1.0253,              0.0079174,              0.0079174,              0.0079174
                     93,                0.58968,                0.74254,                 1.0628,                 0.9731,                0.96272,                0.97804,                0.88574,                0.49392,                 0.5989,                 1.0329,               0.007875,               0.007875,               0.007875
                     94,                0.59724,                0.77918,                  1.079,                0.97303,                0.96641,                0.97742,                0.88508,                0.48707,                0.60496,                  1.038,              0.0078323,              0.0078323,              0.0078323
                     95,                0.60494,                0.77682,                 1.0776,                0.97255,                 0.9643,                0.97716,                0.88326,                0.48051,                0.59594,                 1.0341,              0.0077893,              0.0077893,              0.0077893
                     96,                0.58914,                0.73784,                 1.0721,                0.98294,                0.95588,                0.97897,                0.88677,                 0.4704,                0.61329,                 1.0348,               0.007746,               0.007746,               0.007746
                     97,                0.59325,                0.74136,                 1.0598,                0.96909,                0.96748,                0.97741,                0.88718,                0.48511,                0.62901,                 1.0413,              0.0077023,              0.0077023,              0.0077023
                     98,                0.59573,                0.74379,                 1.0755,                0.96988,                0.96062,                0.97859,                0.88992,                0.47811,                0.62329,                 1.0283,              0.0076584,              0.0076584,              0.0076584
                     99,                0.59288,                0.75546,                 1.0702,                0.96419,                0.96923,                0.97966,                0.88984,                0.48712,                0.62623,                 1.0361,              0.0076142,              0.0076142,              0.0076142
                    100,                0.58939,                0.78918,                 1.0795,                0.98571,                0.95758,                0.97869,                0.88658,                0.48333,                0.62289,                 1.0294,              0.0075698,              0.0075698,              0.0075698
                    101,                0.56686,                0.70898,                 1.0482,                0.98647,                0.95994,                0.98054,                0.88503,                0.46557,                 0.5883,                 1.0157,               0.007525,               0.007525,               0.007525
                    102,                0.57145,                0.72946,                 1.0689,                0.97162,                0.96953,                0.97865,                0.88363,                0.46401,                0.60145,                 1.0189,                0.00748,                0.00748,                0.00748
                    103,                 0.5795,                0.74801,                 1.0576,                 0.9661,                0.97072,                0.98028,                0.89271,                 0.4692,                0.60574,                 1.0147,              0.0074347,              0.0074347,              0.0074347
                    104,                 0.5826,                0.73129,                 1.0684,                0.97719,                0.97785,                0.97765,                 0.8837,                0.48501,                0.61518,                 1.0382,              0.0073891,              0.0073891,              0.0073891
                    105,                0.55377,                0.70515,                 1.0418,                0.98313,                 0.9599,                0.97972,                0.89102,                0.48224,                 0.5971,                  1.036,              0.0073433,              0.0073433,              0.0073433
                    106,                0.58834,                0.76896,                 1.0653,                0.98141,                0.96842,                0.97836,                0.89152,                0.48165,                0.59187,                 1.0503,              0.0072973,              0.0072973,              0.0072973
                    107,                0.55664,                0.70387,                  1.054,                0.97881,                0.97219,                0.97746,                0.89412,                0.47951,                0.60142,                 1.0361,              0.0072509,              0.0072509,              0.0072509
                    108,                0.55657,                0.72223,                 1.0616,                0.98288,                0.95927,                0.97802,                0.89114,                0.45402,                0.60536,                 1.0163,              0.0072044,              0.0072044,              0.0072044
                    109,                0.57501,                 0.7088,                 1.0597,                0.97194,                 0.9748,                0.97809,                0.88765,                0.47511,                0.61318,                 1.0263,              0.0071576,              0.0071576,              0.0071576
                    110,                0.57402,                0.71564,                 1.0543,                0.98204,                0.96955,                0.97629,                0.88584,                0.45659,                0.59224,                 1.0183,              0.0071106,              0.0071106,              0.0071106
